Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2523,3858
Tamil Nadu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,2934,4319
Tamil Nadu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1107,3013,4317
Tamil Nadu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2357,2561,3645
Tamil Nadu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2215,2353,3108
Tamil Nadu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2183,2423,2784
Tamil Nadu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1830,2222,2545
Tamil Nadu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2035,2672,3424
Tamil Nadu,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2800,3571,4865
Tamil Nadu,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2368,3234,4791
Tamil Nadu,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,126,197
Tamil Nadu,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,120,158
Tamil Nadu,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,54,109,166
Tamil Nadu,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,71,95,128
Tamil Nadu,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,54,60,93
Tamil Nadu,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,87,93,131
Tamil Nadu,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,70,74,100
Tamil Nadu,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,121,135,200
Tamil Nadu,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,104,140,194
Tamil Nadu,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,119,185,265
Tamil Nadu,2001,AT3-Buses,3. Buses,0,7,8
Tamil Nadu,2002,AT3-Buses,3. Buses,0,1,2
